단지명,sumID,유형별,국민임대,공공임대,영구임대,행복주택,임대료,버스추정교통량,승용차추정교통량,대중교통접근성_상,대중교통접근성_중,대중교통접근성_하,생활서비스형상권,소매외식형상권,이동여가형상권,m_20g_pop,w_20g_pop,m_30-60g_pop,w_30-60g_pop,m_70-g_pop,w_70-g_pop,공유차량 이용건수
2021 화성동탄7-2(1-5)(7단지 능동),Z49,국민임대,1,0,0,0,210000,206621,4581338,1,0,0,145,925,291,10,8,108,37,29,13,366
2021 화성동탄5-2(4-6)(5단지 새강),Z50,국민임대,1,0,0,0,200000,169258,3124032,0,1,0,97,580,282,10,0,44,44,0,0,506
2021 화성봉담(2단지 동화)(국임),Z38,국민임대,1,0,0,0,160000,52475,1411828,0,1,0,135,603,258,17,25,106,120,12,37,277
2021 화성향남(5단지 한우물)(국임),Z28,국민임대,1,0,0,0,80000,72892,1138878,0,1,0,133,1161,198,40,32,168,210,35,70,83
2021 화성향남(5단지 한우물)(국임),Z28,국민임대,1,0,0,0,170000,72892,1138878,0,1,0,133,1161,198,49,54,175,221,34,44,83
2021 화성향남(6단지 한우물)(국임),Z27,국민임대,1,0,0,0,160000,102324,1414510,0,1,0,99,983,204,49,54,175,221,34,44,89
2021 화성향남(6단지 한우물)(국임),Z27,국민임대,1,0,0,0,80000,102324,1414510,0,1,0,99,983,204,14,17,57,60,0,0,89
2021 화성동탄2 A24블럭(4단지)(국임/영구),Z54,국민임대,1,0,0,0,310000,0,0,1,0,0,46,672,212,0,0,0,0,0,0,896
2021 화성동탄2 A24블럭(4단지)(국임/영구),Z54,국민임대,1,0,0,0,240000,0,0,1,0,0,46,672,212,0,0,0,0,0,0,896
2021 화성동탄2 A24블럭(4단지)(국임/영구),Z54,영구임대,0,0,1,0,70000,0,0,1,0,0,46,672,212,0,0,0,0,0,0,896
2021 화성동탄2 A65블럭(26단지 레이크빌),Z69,공공임대,0,1,0,0,700000,0,0,0,0,1,17,264,43,0,0,0,0,0,0,400
2021 화성남양뉴타운(LH4단지)(국임),Z32,국민임대,1,0,0,0,230000,46902,1428768,0,0,1,57,326,58,22,17,96,98,6,6,68
2021 화성남양뉴타운(LH4단지)(국임),Z32,국민임대,1,0,0,0,140000,46902,1428768,0,0,1,57,326,58,11,10,82,89,0,0,68
2021 화성향남2(5단지 서봉)(국임),Z24,국민임대,1,0,0,0,240000,48876,1584727,0,1,0,14,381,46,0,0,0,0,0,0,255
2021 화성향남2(5단지 서봉)(국임),Z24,국민임대,1,0,0,0,160000,48876,1584727,0,1,0,14,381,46,10,8,108,37,29,13,255
2021 (NHF제3호)화성동탄2 A50블럭(22단지 르파비스),Z70,공공임대,0,1,0,0,690000,0,0,1,0,0,10,71,33,0,0,0,0,0,0,488
2021 (NHF제3호)화성동탄2 A50블럭(22단지 르파비스),Z70,공공임대,0,1,0,0,450000,0,0,1,0,0,10,71,33,0,0,0,0,0,0,488
2021 (NHF제3호)화성동탄2 A69블럭(24단지 스타힐스),Z65,공공임대,0,1,0,0,690000,0,0,0,1,0,16,211,51,0,0,0,0,0,0,567
2021 화성남양뉴타운(LH9단지)(국임),Z31,국민임대,1,0,0,0,250000,29155,970549,1,0,0,23,183,32,0,0,0,0,0,0,291
2021 화성남양뉴타운(LH9단지)(국임),Z31,국민임대,1,0,0,0,150000,29155,970549,1,0,0,23,183,32,6,0,24,26,0,0,291
2021 화성향남2(18단지 언덕)(국임),Z23,국민임대,1,0,0,0,140000,18935,593533,0,0,1,11,99,7,11,10,82,89,0,0,246
2021 화성향남2(18단지 언덕)(국임),Z23,국민임대,1,0,0,0,220000,18935,593533,0,0,1,11,99,7,34,38,220,215,9,11,246
2021 화성동탄2 C26블럭(26단지)(행복),Z14,행복주택,0,0,0,1,120000,209069,5077674,0,0,1,15,145,18,8,12,56,50,7,15,353
2021 화성동탄2 C26블럭(26단지)(행복),Z14,행복주택,0,0,0,1,230000,209069,5077674,0,0,1,15,145,18,0,0,0,0,0,0,353
2021 화성봉담2(LH3단지)(국임),Z34,국민임대,1,0,0,0,150000,96075,2941069,0,0,1,77,475,199,0,0,0,0,0,0,491
2021 화성봉담2(LH3단지)(국임),Z34,국민임대,1,0,0,0,230000,96075,2941069,0,0,1,77,475,199,0,0,0,0,0,0,491
2021 화성봉담2(LH2단지)(국임),Z35,국민임대,1,0,0,0,150000,61808,1864541,1,0,0,58,376,86,0,0,0,0,0,0,532
2021 화성봉담2(LH2단지)(국임),Z35,국민임대,1,0,0,0,230000,61808,1864541,1,0,0,58,376,86,0,0,0,0,0,0,532
2021 (NHF제8호)화성동탄2 A48블럭(22단지 경남아너스빌),Z71,공공임대,0,1,0,0,670000,0,0,1,0,0,8,63,34,0,0,0,0,0,0,396
2021 (NHF제8호)화성동탄2 A48블럭(22단지 경남아너스빌),Z71,공공임대,0,1,0,0,460000,0,0,1,0,0,8,63,34,0,0,0,0,0,0,396
2021 화성동탄2 A6블럭(1단지)(국민),Z51,국민임대,1,0,0,0,150000,12379,467452,1,0,0,9,117,30,0,0,0,0,0,0,289
2021 화성동탄2 A6블럭(1단지)(국민),Z51,국민임대,1,0,0,0,230000,12379,467452,1,0,0,9,117,30,0,0,0,0,0,0,289
2021 (NHF제10호)화성동탄2 A83블럭(28단지 엘크루),Z62,공공임대,0,1,0,0,450000,0,0,0,0,1,8,66,7,0,0,0,0,0,0,394
2021 (NHF제10호)화성동탄2 A83블럭(28단지 엘크루),Z62,공공임대,0,1,0,0,680000,0,0,0,0,1,8,66,7,0,0,0,0,0,0,394
"2021 화성봉담2(LH4단지)(행복,임대상가)",Z10,행복주택,0,0,0,1,90000,52132,1899235,0,0,1,71,318,91,13,14,80,86,0,0,868
"2021 화성봉담2(LH4단지)(행복,임대상가)",Z10,행복주택,0,0,0,1,170000,52132,1899235,0,0,1,71,318,91,0,0,0,0,0,0,868
2021 (NHF제12호)화성동탄2 A63블럭(23단지 센트럴써밋),Z66,공공임대,0,1,0,0,460000,0,0,0,0,1,13,150,44,0,0,0,0,0,0,365
2021 화성동탄2 A82블럭(28단지)(행복),Z17,행복주택,0,0,0,1,100000,54131,1390287,1,0,0,10,159,13,0,0,0,0,0,0,823
2021 화성동탄2 A82블럭(28단지)(행복),Z17,행복주택,0,0,0,1,190000,54131,1390287,1,0,0,10,159,13,0,0,0,0,0,0,823
"2021 화성남양뉴타운(LH10단지)(국임,임대상가)",Z30,국민임대,1,0,0,0,140000,29411,1027959,1,0,0,18,183,37,0,0,0,0,0,0,238
"2021 화성남양뉴타운(LH10단지)(국임,임대상가)",Z30,국민임대,1,0,0,0,220000,29411,1027959,1,0,0,18,183,37,0,0,0,0,0,0,238
"2021 화성발안(1단지)(행복,임대상가)",Z1,행복주택,0,0,0,1,90000,30342,1056589,1,0,0,16,110,4,19,16,227,214,8,9,172
"2021 화성발안(1단지)(행복,임대상가)",Z1,행복주택,0,0,0,1,160000,30342,1056589,1,0,0,16,110,4,15,26,113,117,0,0,172
2021 화성동탄2 A77-1블럭(35단지)(행복),Z18,행복주택,0,0,0,1,120000,45875,869691,1,0,0,10,126,41,0,0,0,0,0,0,532
2021 화성동탄2 A77-1블럭(35단지)(행복),Z18,행복주택,0,0,0,1,180000,45875,869691,1,0,0,10,126,41,0,0,0,0,0,0,532
2021 화성동탄2 A77-2블럭(35단지)(국임/영구),Z52,영구임대,0,0,1,0,60000,52712,800843,0,0,1,24,244,80,0,0,0,0,0,0,131
2021 화성동탄2 A77-2블럭(35단지)(국임/영구),Z52,국민임대,1,0,0,0,250000,52712,800843,0,0,1,24,244,80,0,0,0,0,0,0,131
2021 화성동탄2 A77-2블럭(35단지)(국임/영구),Z52,국민임대,1,0,0,0,170000,52712,800843,0,0,1,24,244,80,0,0,0,0,0,0,131
2021 화성동탄2 A4-1블럭(2단지)(행복),Z16,행복주택,0,0,0,1,230000,104184,2475262,0,1,0,37,323,66,0,0,0,0,0,0,1932
2021 화성동탄2 A4-1블럭(2단지)(행복),Z16,행복주택,0,0,0,1,120000,104184,2475262,0,1,0,37,323,66,0,0,0,0,0,0,1932
2021 화성동탄2 A4-2블럭(2단지)(국임/영구),Z55,국민임대,1,0,0,0,270000,0,0,0,1,0,90,724,184,0,0,0,0,0,0,0
2021 화성동탄2 A4-2블럭(2단지)(국임/영구),Z55,국민임대,1,0,0,0,180000,0,0,0,1,0,90,724,184,0,0,0,0,0,0,0
2021 화성동탄2 A4-2블럭(2단지)(국임/영구),Z55,영구임대,0,0,1,0,90000,0,0,0,1,0,90,724,184,0,0,0,0,0,0,0
2021 화성비봉 A-2블록 행복주택,Z7,행복주택,0,0,0,1,140000,19218,1174269,0,0,1,21,61,9,0,0,0,0,0,0,0
2021 화성비봉 A-2블록 행복주택,Z7,행복주택,0,0,0,1,70000,19218,1174269,0,0,1,21,61,9,0,0,0,0,0,0,0
2021 화성비봉 A-1블록 국민영구임대주택,Z59,국민임대,1,0,0,0,140000,0,0,0,0,1,38,112,10,0,0,0,0,0,0,0
2021 화성비봉 A-1블록 국민영구임대주택,Z59,국민임대,1,0,0,0,210000,0,0,0,0,1,38,112,10,0,0,0,0,0,0,0
2021 화성비봉 A-1블록 국민영구임대주택,Z59,영구임대,0,0,1,0,80000,0,0,0,0,1,38,112,10,0,0,0,0,0,0,0
2022 화성동탄7-2(1-5)(7단지 능동),Z49,국민임대,1,0,0,0,210000,131642,4581338,1,0,0,163,886,312,10,0,110,37,37,22,418
2022 화성동탄5-2(4-6)(5단지 새강),Z50,국민임대,1,0,0,0,200000,106004,3124032,0,1,0,122,578,310,10,0,51,45,0,0,375
2022 화성봉담(2단지 동화)(국임),Z38,국민임대,1,0,0,0,160000,33143,1411828,0,1,0,132,538,213,17,26,104,121,19,40,331
2022 화성향남(5단지 한우물)(국임),Z28,국민임대,1,0,0,0,80000,43950,1138878,0,1,0,143,1003,216,36,25,165,198,35,73,55
2022 화성향남(5단지 한우물)(국임),Z28,국민임대,1,0,0,0,170000,43950,1138878,0,1,0,143,1003,216,47,49,181,222,33,42,55
2022 화성향남(6단지 한우물)(국임),Z27,국민임대,1,0,0,0,160000,62444,1414510,0,1,0,104,854,220,47,49,181,222,33,42,68
2022 화성향남(6단지 한우물)(국임),Z27,국민임대,1,0,0,0,80000,62444,1414510,0,1,0,104,854,220,14,13,60,64,0,6,68
2022 화성동탄2 A24블럭(4단지)(국임/영구),Z54,국민임대,1,0,0,0,310000,0,0,1,0,0,76,758,292,0,0,0,0,0,0,558
2022 화성동탄2 A24블럭(4단지)(국임/영구),Z54,국민임대,1,0,0,0,240000,0,0,1,0,0,76,758,292,0,0,0,0,0,0,558
2022 화성동탄2 A24블럭(4단지)(국임/영구),Z54,영구임대,0,0,1,0,70000,0,0,1,0,0,76,758,292,0,0,0,0,0,0,558
