단지명,sumID,유형별,국민임대,공공임대,영구임대,행복주택,임대료,버스추정교통량,승용차추정교통량,대중교통접근성_상,대중교통접근성_중,대중교통접근성_하,생활서비스형상권,소매외식형상권,이동여가형상권,m_20g_pop,w_20g_pop,m_30-60g_pop,w_30-60g_pop,m_70-g_pop,w_70-g_pop,공유차량 이용건수,lon,lat
2021 화성동탄7-2(1-5)(7단지 능동),Z49,국민임대,1.0,0.0,0.0,0.0,210000.0,206621.0,4581338.0,1.0,0.0,0.0,145.0,925.0,291.0,10.0,8.0,108.0,37.0,29.0,13.0,366.0,127.06112783617262,37.21126821107472
2021 화성동탄5-2(4-6)(5단지 새강),Z50,국민임대,1.0,0.0,0.0,0.0,200000.0,169258.0,3124032.0,0.0,1.0,0.0,97.0,580.0,282.0,10.0,0.0,44.0,44.0,0.0,0.0,506.0,127.06917850910293,37.19352199242703
2021 화성봉담(2단지 동화)(국임),Z38,국민임대,1.0,0.0,0.0,0.0,160000.0,52475.0,1411828.0,0.0,1.0,0.0,135.0,603.0,258.0,17.0,25.0,106.0,120.0,12.0,37.0,277.0,126.96073759786272,37.21866582016575
2021 화성향남(5단지 한우물)(국임),Z28,국민임대,1.0,0.0,0.0,0.0,80000.0,72892.0,1138878.0,0.0,1.0,0.0,133.0,1161.0,198.0,40.0,32.0,168.0,210.0,35.0,70.0,83.0,126.91563525782476,37.124382456748776
2021 화성향남(5단지 한우물)(국임),Z28,국민임대,1.0,0.0,0.0,0.0,80000.0,72892.0,1138878.0,0.0,1.0,0.0,133.0,1161.0,198.0,40.0,32.0,168.0,210.0,35.0,70.0,83.0,126.91563525782476,37.124382456748776
2021 화성향남(5단지 한우물)(국임),Z28,국민임대,1.0,0.0,0.0,0.0,170000.0,72892.0,1138878.0,0.0,1.0,0.0,133.0,1161.0,198.0,49.0,54.0,175.0,221.0,34.0,44.0,83.0,126.91563525782476,37.124382456748776
2021 화성향남(5단지 한우물)(국임),Z28,국민임대,1.0,0.0,0.0,0.0,170000.0,72892.0,1138878.0,0.0,1.0,0.0,133.0,1161.0,198.0,49.0,54.0,175.0,221.0,34.0,44.0,83.0,126.91563525782476,37.124382456748776
2021 화성향남(6단지 한우물)(국임),Z27,국민임대,1.0,0.0,0.0,0.0,160000.0,102324.0,1414510.0,0.0,1.0,0.0,99.0,983.0,204.0,49.0,54.0,175.0,221.0,34.0,44.0,89.0,126.91848914458268,37.124146320662334
2021 화성향남(6단지 한우물)(국임),Z27,국민임대,1.0,0.0,0.0,0.0,160000.0,102324.0,1414510.0,0.0,1.0,0.0,99.0,983.0,204.0,49.0,54.0,175.0,221.0,34.0,44.0,89.0,126.91848914458268,37.124146320662334
2021 화성향남(6단지 한우물)(국임),Z27,국민임대,1.0,0.0,0.0,0.0,80000.0,102324.0,1414510.0,0.0,1.0,0.0,99.0,983.0,204.0,14.0,17.0,57.0,60.0,0.0,0.0,89.0,126.91848914458268,37.124146320662334
