blck_cd,blck_nm,type,pyng,pay_rent,lon,lat
C00405,하남풍산1,국민임대,20평 이하,270000,127.20024291653802,37.55246816969525
C00406,하남풍산2,국민임대,20평 이하,230000,127.20213097863233,37.551419566729294
C00407,하남풍산3,국민임대,20평 이하,270000,127.20837754069753,37.54925934504628
C00408,하남풍산4,국민임대,20평 이하,350000,127.20818432776066,37.54716664670727
C01801,미사강변도시 A12블록(분납),공공임대,30평 이하,220000,127.18844810353283,37.57074272066005
C01802,미사강변도시 A16블록(분납),공공임대,20평 이하,120000,127.19267075594063,37.57241261259187
C01921,하남미사 A13BL,영구임대,10평 이하,80000,127.18869626701155,37.568623475672574
C01921,하남미사 A13BL,국민임대,20평 이하,260000,127.18869626701155,37.568623475672574
C01921,하남미사 A13BL,국민임대,10평 이하,190000,127.18869626701155,37.568623475672574
C01967,미사강변 A29블록 10년 공임리츠,공공임대,20평 이하,490000,127.19842868863653,37.561665827284266
C01967,미사강변 A29블록 10년 공임리츠,공공임대,30평 이하,770000,127.19842868863653,37.561665827284266
C01995,하남미사 17단지,국민임대,20평 이하,260000,127.1812513190973,37.565224530846294
C01995,하남미사 17단지,국민임대,10평 이하,210000,127.1812513190973,37.565224530846294
C02012,(NHF제4호)하남미사A4,공공임대,30평 이하,760000,127.18068621250059,37.57270894203898
C02012,(NHF제4호)하남미사A4,공공임대,20평 이하,500000,127.18068621250059,37.57270894203898
C02126,미사강변도시 A24블록 10년 공임리츠,공공임대,30평 이하,750000,127.19271495588944,37.55956970350168
C02126,미사강변도시 A24블록 10년 공임리츠,공공임대,20평 이하,500000,127.19271495588944,37.55956970350168
C02127,미사강변도시 A25블록 10년 공임리츠,공공임대,30평 이하,760000,127.19249839432958,37.55771019521943
C02198,하남미사 A14블록,국민임대,20평 이하,240000,127.19056215109411,37.571253902357064
C02198,하남미사 A14블록,국민임대,10평 이하,160000,127.19056215109411,37.571253902357064
C02212,하남미사 C3BL 행복주택,행복주택,10평 이하,160000,127.19695681675921,37.56348890456289
C02212,하남미사 C3BL 행복주택,행복주택,20평 이하,290000,127.19695681675921,37.56348890456289
C02256,"하남감일 10단지(10년, 분납)B5블록",공공임대,30평 이하,730000,127.16171561534671,37.50845749292075
C02258,하남감일 1단지(10년공임)A1블록,공공임대,20평 이하,550000,127.15070725287681,37.5068996375275
C02352,감일 포엠포레아파트,공공임대,20평 이하,520000,127.16202554576367,37.512135958902135
C02384,하남감일 6단지(행복주택)A6블록,행복주택,10평 이하,150000,127.1600562516453,37.51247791325528
C02384,하남감일 6단지(행복주택)A6블록,행복주택,20평 이하,240000,127.1600562516453,37.51247791325528
C02408,"하남감일 8단지(국민, 영구)A3블록",국민임대,10평 이하,160000,127.16345329644041,37.51163825871581
C02408,"하남감일 8단지(국민, 영구)A3블록",국민임대,20평 이하,240000,127.16345329644041,37.51163825871581
C02408,"하남감일 8단지(국민, 영구)A3블록",영구임대,10평 이하,70000,127.16345329644041,37.51163825871581
C02426,하남감일 2단지(공공임대) B1블록,공공임대,30평 이하,480000,127.15776799181138,37.51146688687437
C02443,하남감일 7단지(행복주택) A2블록,행복주택,20평 이하,250000,127.15985713412829,37.51131902186626
C02443,하남감일 7단지(행복주택) A2블록,행복주택,10평 이하,140000,127.15985713412829,37.51131902186626
C02496,위례A3-3bBL 행복주택,행복주택,20평 이하,500000,127.15848232304246,37.48695537792817
C02520,위례 A3-3a블록 10년공공임대,공공임대,20평 이하,530000,127.15905998598963,37.485838247225765
C02637,하남감일 A7BL 행복주택,행복주택,20평 이하,520000,127.16396009467189,37.507887221283845
