year,단지명,sumID,유형별,국민임대,공공임대,영구임대,행복주택,임대료,버스추정교통량,승용차추정교통량,대중교통접근성_상,대중교통접근성_중,대중교통접근성_하,생활서비스형상권,소매외식형상권,이동여가형상권,pop_20g_pop,pop_30g_pop,pop_40g_pop,pop_50g_pop,pop_60g_pop,pop_70g_pop,pop_80g_pop,pop_90g_pop,pop_100g_pop,공유차량 이용건수,blck_nm,lon,lat
2021,화성동탄7-2(1-5)(7단지 능동),Z49,국민임대,1,0,0,0,210000,206621.276,3905976.234,1,0,0,145,925,291,199.0,196.0,334.0,215.0,167.0,107.0,48.0,6.0,0,366,화성동탄7-2(1-5)(7단지 능동),127.06112783617262,37.21126821107472
2021,화성동탄5-2(4-6)(5단지 새강),Z50,국민임대,1,0,0,0,200000,169258.2999,2556677.571,0,1,0,97,580,282,296.0,365.0,618.0,432.0,375.0,236.0,95.0,0.0,0,506,화성동탄5-2(4-6)(5단지 새강),127.06917850910293,37.19352199242703
2021,화성봉담(2단지 동화)(국임),Z38,국민임대,1,0,0,0,160000,52475.33746,1091817.45,0,1,0,135,603,258,143.0,165.0,311.0,289.0,246.0,160.0,73.0,0.0,0,277,화성봉담(2단지 동화)(국임),126.96073759786272,37.21866582016575
2021,화성향남(5단지 한우물)(국임),Z28,국민임대,1,0,0,0,80000,72892.16781,1092472.835,0,1,0,133,1161,198,185.0,251.0,373.0,338.0,249.0,76.0,31.0,0.0,0,83,화성향남(5단지 한우물)(국임),126.91563525782476,37.124382456748776
2021,화성향남(5단지 한우물)(국임),Z28,국민임대,1,0,0,0,80000,72892.16781,1092472.835,0,1,0,133,1161,198,185.0,251.0,373.0,338.0,249.0,76.0,31.0,0.0,0,83,화성향남(5단지 한우물)(국임),126.91563525782476,37.124382456748776
2021,화성향남(5단지 한우물)(국임),Z28,국민임대,1,0,0,0,170000,72892.16781,1092472.835,0,1,0,133,1161,198,185.0,251.0,373.0,338.0,249.0,76.0,31.0,0.0,0,83,화성향남(5단지 한우물)(국임),126.91563525782476,37.124382456748776
2021,화성향남(5단지 한우물)(국임),Z28,국민임대,1,0,0,0,170000,72892.16781,1092472.835,0,1,0,133,1161,198,185.0,251.0,373.0,338.0,249.0,76.0,31.0,0.0,0,83,화성향남(5단지 한우물)(국임),126.91563525782476,37.124382456748776
2021,화성향남(6단지 한우물)(국임),Z27,국민임대,1,0,0,0,160000,102324.1756,1385752.969,0,1,0,99,983,204,276.0,345.0,555.0,393.0,284.0,151.0,53.0,0.0,0,89,화성향남(6단지 한우물)(국임),126.91848914458268,37.124146320662334
2021,화성향남(6단지 한우물)(국임),Z27,국민임대,1,0,0,0,160000,102324.1756,1385752.969,0,1,0,99,983,204,276.0,345.0,555.0,393.0,284.0,151.0,53.0,0.0,0,89,화성향남(6단지 한우물)(국임),126.91848914458268,37.124146320662334
2021,화성향남(6단지 한우물)(국임),Z27,국민임대,1,0,0,0,80000,102324.1756,1385752.969,0,1,0,99,983,204,276.0,345.0,555.0,393.0,284.0,151.0,53.0,0.0,0,89,화성향남(6단지 한우물)(국임),126.91848914458268,37.124146320662334
2021,화성향남(6단지 한우물)(국임),Z27,국민임대,1,0,0,0,80000,102324.1756,1385752.969,0,1,0,99,983,204,276.0,345.0,555.0,393.0,284.0,151.0,53.0,0.0,0,89,화성향남(6단지 한우물)(국임),126.91848914458268,37.124146320662334
2021,화성동탄2 A24블럭(4단지)(국임/영구),Z54,국민임대,1,0,0,0,310000,71258.40175,1977625.477,1,0,0,46,672,212,118.8891,327.12516,284.6133,234.1755,260.11494,214.72091999999998,97.99343999999999,4.32324,0,896,화성동탄2 A24블럭(4단지)(국임/영구),127.12159671867512,37.206008562740415
2021,화성동탄2 A24블럭(4단지)(국임/영구),Z54,국민임대,1,0,0,0,310000,71258.40175,1977625.477,1,0,0,46,672,212,118.8891,327.12516,284.6133,234.1755,260.11494,214.72091999999998,97.99343999999999,4.32324,0,896,화성동탄2 A24블럭(4단지)(국임/영구),127.12159671867512,37.206008562740415
2021,화성동탄2 A24블럭(4단지)(국임/영구),Z54,국민임대,1,0,0,0,310000,71258.40175,1977625.477,1,0,0,46,672,212,118.8891,327.12516,284.6133,234.1755,260.11494,214.72091999999998,97.99343999999999,4.32324,0,896,화성동탄2 A24블럭(4단지)(국임/영구),127.12159671867512,37.206008562740415
2021,화성동탄2 A24블럭(4단지)(국임/영구),Z54,국민임대,1,0,0,0,240000,71258.40175,1977625.477,1,0,0,46,672,212,118.8891,327.12516,284.6133,234.1755,260.11494,214.72091999999998,97.99343999999999,4.32324,0,896,화성동탄2 A24블럭(4단지)(국임/영구),127.12159671867512,37.206008562740415
2021,화성동탄2 A24블럭(4단지)(국임/영구),Z54,국민임대,1,0,0,0,240000,71258.40175,1977625.477,1,0,0,46,672,212,118.8891,327.12516,284.6133,234.1755,260.11494,214.72091999999998,97.99343999999999,4.32324,0,896,화성동탄2 A24블럭(4단지)(국임/영구),127.12159671867512,37.206008562740415
